id;gum;es
1;tsurѳtik;pintado
2;tupak;arena
3;tupa;araña
4;tun;cordillera
5;tun;cerro
6;wakra tuna pura yan kutsitsan;se pasó la vaca por la loma
7;nu tunape kitak kѳn;la loma grande está pelada
8;tun;montaña
9;tun;loma
10;tumpesrar;nombre de la mata de tumpe
11;tumpe;mata que echa guascas muy largas
12;Tumpe;gran viento del páramo
13;tulu;redondo
14;tulusrik;corral
15;tutsik;potrerito
16;mamik tulishintrap;cosechar
17;tuliship;recoger
18;nai mashura Carmen Tulia kѳn;mi abuela es Carmen Tulia
19;tul;jardín
20;Juanambusrѳ warapuras kan tultѳ tѳkar kѳpelѳ ker;cuando vivíamos en Juanambú teníamos una sola parcela
21;tulyupe pѳn wakra puntran;en el potrero hay tres vacas
22;tulyu;en el potrero
23;tul;potrero
24;tul;parcela
25;tuchip;escupir
26;tutuk kapyu tsutsatan;la rana mió en el ojo
27;pura tsutsikwan srѳtral!;¡Corten ka cañá de maíz!
28;pura tsutsik;caña de maíz
29;wentѳ tsutsik;columna vertebral
30;kual tsutsik;hueso del brazo
31;katsik tsutsik;espinilla
32;katsik tsutsik;hueso del pie
33;srѳp tsutsik;hueso de la pierna
34;srѳp tsutsik;fémur
35;pechu tsutsik;caja torácica
36;masrtur tsutsik;costillas
37;masrik tsutsik kiltak;bíceps
38;malѳ tsutsik;mandíbulas
39;asr tsutsik;huesos del cuerpo
40;tsutsik;hueso
41;tsuship;coser
42;tsusikya;casa tradicional guambiana
43;tsurѳye;papa careta
44;piñinkua tsurѳtik kѳn;la mariposa está pintada
45;kѳshѳmpurpe tsurѳtik kѳn;el arco tiene muchos colores
46;tsurѳtik;colorido
47;tsurѳp;regar las semillas
48;tsurѳ parѳp;partir en pequeños bloques
49;tsuriik;pintado
50;tsupi;orina
51;kuantrѳ urelmera kientsikalyu tsun;los niños enfermos están en la cama
52;Mariape kuantrѳ tsun;María está enferma
53;pѳlpe mentra pirau tsun;la luna está muy abajo
54;wañipe palasrѳ tsun;las nubes están arriba
55;pipe yu tsun;el río está aquí
56;ulpe kauyu tsun;la culebra está en la hierba
57;Juanpe uyu tsun;Juan está aquí
58;muna tsukѳh?;¿Dónde estás?
59;yawimpi muna tsuh?;¿Dónde está el pescado?
60;pѳsrpe mentra palasrѳ tsun;el sol está bien arriba
61;pѳl tsun;la luna está allá
62;tsumne;mientras está acostado
63;tsupne;mientras está acostado
64;Pedru estudiap wamne Juanpe kuallip tsupik kѳn;mientras Pedro estudia, Juan trabaja
65;Juan yem pun nape kip tsupen;Juan llegó anoche cuando yo estaba durmiendo
66;unѳ nurap tsun;el niño está creciendo
67;pachiktik kip tsu;acuéstese bien calientito
68;tsup;estar acostado
69;tsumisrѳp;acostarse
70;kim tsulak;mocoso
71;na tsulakwan nenѳp war;estoy cocinando la sopa
72;pura tsulak makun;comamos sopa de maíz
73;pura tsulak makun;comamos mazamorra
74;palanta tsulak;spa de plátano
75;pura tsulak;sopa de maíz
76;tsulak;sopa
77;tsuk;abdomen
78;trunѳ;una semana
79;kan tsu;una semana
